,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
786,Oliver Tree,Alien Boy,1gGhqfs2pDTOI30AEXMXrn,70,0.111,0.803,163525,0.599,0.0,1,0.236,-5.169,1,0.0985,130.107,4,0.484
787,Devin Dawson,Asking For A Friend,5mXOdtyPOL6GEuZdCyHSsb,68,0.238,0.713,239280,0.527,7.49e-06,4,0.111,-7.512,1,0.0329,123.006,4,0.445
788,Daddy Yankee,Dura,6KuqAtoeVzxAYOaMveLNpH,81,0.183,0.791,200480,0.848,0.0,1,0.409,-3.456,1,0.0506,95.0,4,0.828
789,Shawn Mendes,Like To Be You (feat. Julia Michaels),2IssBpPtHcViZL5vYQNHhA,75,0.812,0.737,159400,0.451,0.0,2,0.108,-9.405,1,0.229,153.766,4,0.664
790,Vince Staples,Relay,02sObHgWwieFWa9zWIi6gF,67,0.0579,0.772,137813,0.82,0.0,2,0.546,-3.961,1,0.23,160.03,4,0.254
791,Kina Grannis,Can’t Help Falling in Love,7uuEfUMuPeQ7RlSWa0cES2,76,0.905,0.266,201933,0.0596,7.07e-05,0,0.132,-18.515,1,0.0363,181.74,3,0.143
792,Lady Gaga,I'll Never Love - Extended Version - Radio Edit,54e5nUP7pHqVfaiCsq9FpW,77,0.712,0.403,328016,0.356,2.04e-06,7,0.109,-6.173,1,0.0287,108.989,4,0.194
793,BTS,Epiphany,7L8hkKW4hnemNfuOfEZcle,74,0.29,0.509,240362,0.558,0.0,2,0.131,-6.369,0,0.0276,135.879,4,0.327
794,Kane Brown,Baby Come Back to Me,3RM16YBGNG6uRGQingNajz,61,0.0193,0.538,226693,0.812,4.33e-06,7,0.11,-5.776,1,0.0343,81.062,4,0.484
795,The Weeknd,Privilege,26Fqtv4Aa7kyd1WWGHai6A,71,0.913,0.391,170573,0.595,0.00557,11,0.145,-7.094,0,0.0411,93.78,4,0.379
796,Daddy Yankee,Adictiva,6MJUCumnQsQEKbCy28tbCP,74,0.291,0.788,207853,0.771,5.62e-05,4,0.172,-3.206,0,0.0563,99.038,4,0.701
797,Lil Mosey,Greet Her,35eqqYzCWQyzqxj4SI9Ywl,69,0.0593,0.75,174316,0.476,0.0,7,0.199,-7.864,0,0.0412,94.995,4,0.123
798,RM,uhgood,7hjWFO88DN3FroDMRIcehn,73,0.00135,0.536,194384,0.559,0.016,0,0.132,-6.826,1,0.0501,85.971,4,0.0964
799,LANY,I Don't Wanna Love You Anymore,7ArrTJ1LwcGAlEO65LUQ7i,77,0.322,0.702,201198,0.623,0.0,0,0.0858,-8.36,1,0.0417,104.974,4,0.503
800,RM,everythingoes,7DKYA93lgKbhxzqE2ojtCS,73,0.143,0.467,222494,0.722,2.91e-06,5,0.128,-5.819,1,0.0303,92.014,4,0.14
801,Lauv,Never Not,4fFfyouye6vrX9o9z4PVMu,74,0.693,0.47,208000,0.221,0.0,5,0.104,-9.243,1,0.0371,133.714,4,0.264
802,Sam Hunt,Downtown's Dead,5eFfsbjSouG8qOpg9ZqDl6,68,0.109,0.624,213987,0.696,0.0,11,0.132,-6.006,1,0.0469,82.001,4,0.392
803,El de La Guitarra,El Monstro 7,21jEIOf3pXF1EOb9n0vZJf,70,0.528,0.793,202125,0.572,0.0,9,0.158,-8.435,0,0.0368,119.955,3,0.909
804,$uicideBoy$,Carrollton,7wPHEEGn0rWMZEDrDcOaDa,70,0.00221,0.844,203897,0.52,0.00122,5,0.7,-10.626,0,0.533,149.995,4,0.289
805,Tinashe,Throw A Fit,7D8aQaRzoi9Qzz5yerVK5b,71,0.00597,0.888,158757,0.586,0.0365,0,0.153,-6.745,1,0.0604,150.051,4,0.401
806,Leon Bridges,Beyond,1Omt5bfz1tZUCqd26HxbS0,71,0.229,0.58,240600,0.687,0.0,6,0.109,-5.4,1,0.106,76.014,4,0.187
807,Kane Brown,Good as You,1D07CwYBPqu8NbQTdu9C1g,61,0.4,0.634,192053,0.516,0.0,8,0.142,-6.05,1,0.0373,153.831,4,0.769
808,Kevin Gates,Discussion,1N0VXvVxSoMp66StV03Opo,67,0.3,0.767,162353,0.717,0.0,10,0.223,-5.836,0,0.364,135.994,4,0.494
809,Alessia Cara,Growing Pains,003eoIwxETJujVWmNFMoZy,72,0.0822,0.353,193680,0.755,0.0,1,0.39,-6.276,0,0.733,191.153,4,0.437
810,Lil Yachty,Fallin' In Luv (feat. Gunna),0FRKALsvZ01GkcTPgORiwZ,69,0.3,0.866,220665,0.412,0.00493,1,0.115,-7.593,1,0.0522,141.997,4,0.0973
811,Cardi B,Get Up 10,7p2ewixAShLpjDZrnzZK7c,69,0.0977,0.806,231453,0.57,0.0,1,0.105,-6.927,1,0.246,93.015,4,0.454
812,Camila Cabello,She Loves Control,5HwnezK198pJCEj1l2Adjy,75,0.166,0.65,177160,0.758,0.0,2,0.0889,-4.02,1,0.116,94.9,4,0.663
813,Keith Urban,Never Comin Down,1QJvq84l7YcVCyIkGA602c,68,0.00928,0.697,214096,0.82,0.000118,1,0.122,-4.275,1,0.0448,94.995,4,0.815
814,Lauv,Paris in the Rain,41CgzGD7xlgnJe14R4cqkL,74,0.771,0.426,204712,0.408,7.88e-06,3,0.394,-9.419,1,0.0524,76.309,4,0.528
815,YoungBoy Never Broke Again,This For The (feat. Quando Rondo),4EnyN8CIx6P7r9sP7yHcmE,67,0.305,0.815,187199,0.746,0.0,7,0.113,-3.208,0,0.13,144.058,4,0.501
816,Rae Sremmurd,CLOSE (feat. Travis Scott) - From SR3MM,1oUudyBYVGMIC8JXeIsFzq,71,0.104,0.691,193510,0.736,0.0,0,0.111,-4.993,1,0.0321,140.034,4,0.0395
817,Tee Grizzley,1 Night (feat. Quavo),5ly7TR6gFj3IcdLXgGuQQL,64,0.0504,0.848,191250,0.514,0.0,1,0.102,-7.495,1,0.361,150.079,4,0.416
818,Lil Durk,100 Grand (feat. Ty Dolla $ign & A Boogie wit da Hoodie),55bBVlWgwZ6yw5ccMkDU5j,67,0.11,0.794,158987,0.637,0.0,11,0.185,-6.373,1,0.267,158.098,4,0.503
819,Joji,I Don't Wanna Waste My Time,72Qo3U5apeuv91j9BEqJBM,70,0.765,0.287,164430,0.234,0.0636,4,0.123,-17.86,1,0.0672,74.454,4,0.121
820,Jon Bellion,Conversations with my Wife,1EAZ0APxPiVuzDb7R5TfVI,64,0.0222,0.496,206210,0.487,1.85e-05,6,0.638,-7.003,1,0.0301,138.187,4,0.321
821,5 Seconds of Summer,Want You Back,2vHfabj6nFebekTYODqntl,75,0.00699,0.618,173082,0.867,1.03e-06,0,0.202,-4.915,1,0.0439,98.03,4,0.579
822,Lil Donald,Do Better,4u81A6n7C0MonCyMx4lmMy,67,0.714,0.802,206557,0.42,4.1e-06,5,0.11,-9.131,0,0.101,130.119,4,0.603
823,Rae Sremmurd,Perplexing Pegasus - From SR3MM,1ung2kajpw24AaHjBtPY3j,70,0.000692,0.899,204787,0.448,2.36e-05,1,0.365,-8.789,1,0.0738,145.975,4,0.302
824,Jacquees,B.E.D.,1B6TmCvKjC4dopBohVW51x,69,0.00368,0.739,236147,0.536,0.0,1,0.0968,-6.501,1,0.0587,122.022,4,0.193
825,6LACK,Cutting Ties,6lJ5aSxKHCwNBoWkZT3JeJ,70,0.0099,0.788,261703,0.601,2.3e-05,5,0.105,-6.673,1,0.0413,139.926,4,0.242
826,Jon Bellion,Adult Swim (feat. Tuamie),7HKSWfpxHhllSmoLk9AQz8,64,0.244,0.701,313897,0.828,0.0,7,0.417,-5.606,1,0.297,89.988,4,0.651
827,Lady Gaga,Heal Me,5eRo6g2COIM4OE3UEHMA4g,75,0.0481,0.606,196800,0.544,0.0,9,0.0916,-8.36,0,0.0593,86.013,4,0.456
828,Kane Brown,Work,7rdUgpYliIDq3Z9eoFn5MJ,61,0.584,0.596,185760,0.5,0.0,2,0.11,-8.701,1,0.0335,82.954,4,0.434
829,YoungBoy Never Broke Again,Love Is Poison,3grLWp1ZsXJhpTc6PFS9s2,67,0.0533,0.781,157975,0.593,0.0,1,0.381,-6.038,1,0.281,158.019,4,0.602
830,Ozuna,Pasado y Presente,6NPjHwhEG7eQUQBoPFBrnz,75,0.129,0.882,221387,0.695,0.00109,0,0.0906,-2.866,1,0.0535,127.989,4,0.97
831,Kevin Roldan,PPP,1DcxnVNFAyVl2sDQ646pXS,85,0.363,0.786,129040,0.65,8.17e-05,4,0.122,-6.839,1,0.109,92.975,4,0.712
832,Kane Brown,One Night Only,5vA0VR0mosr9sj09P5Bo3g,60,0.164,0.649,191787,0.595,0.0,6,0.112,-6.214,0,0.0325,77.996,4,0.686
833,Ruel,Younger,2qXicQG06oT0ijKBznpgQv,75,0.202,0.745,222320,0.477,0.0,11,0.12,-7.706,0,0.088,136.055,4,0.454
834,Ozuna,Coméntale,7oCGD6Ccuw8JmYWw6IrI8z,76,0.544,0.844,214693,0.674,6.84e-05,6,0.0978,-4.308,1,0.105,103.002,4,0.766
835,Jacquees,You,01jIO8SJFnpSiNLH1JaBZ5,70,0.413,0.735,217387,0.453,0.0,8,0.104,-8.264,0,0.0602,115.002,4,0.335
836,Vince Staples,Run the Bands,2WhmaCir1p0bXaiOaRLe3C,67,0.258,0.912,188480,0.687,0.0,0,0.359,-4.34,1,0.0717,138.062,4,0.506
837,Shawn Mendes,Use Somebody - Recorded at Spotify Studios NYC,5My4LtZW8JQJoKFDWodqIt,18,0.322,0.365,176587,0.554,0.0,0,0.144,-5.944,1,0.034,124.421,4,0.333
838,Shawn Mendes,Lost In Japan - Recorded at Spotify Studios NYC,7b1WVMX0FShcPWct8ca7ma,16,0.728,0.554,214587,0.505,0.0,7,0.0807,-7.468,0,0.0606,100.137,4,0.527
839,6LACK,Stan,1mggAh6xgnKUT6ukw3AU9A,69,0.82,0.447,303750,0.341,0.000249,8,0.127,-9.413,1,0.0336,109.091,4,0.174
840,Jennifer Lopez,Dinero,22mQXNE0nCuWq4yOwcadIn,72,0.41,0.721,213750,0.881,7.61e-06,8,0.292,-2.528,1,0.342,127.759,4,0.643
841,Jon Bellion,Couples Retreat,7pMS0byKI7V1Mpl0SlWEDq,63,0.0118,0.347,208697,0.672,0.000154,7,0.245,-6.661,1,0.52,195.225,4,0.565
842,The Weeknd,I Was Never There,5rgnyXr2PXFWsAnPFew077,71,0.135,0.324,241067,0.735,4.84e-05,10,0.169,-4.054,1,0.0337,113.923,4,0.169
